import_key,title,content,description,category
jira_sprint_analysis_pm,"Sprint Analysis Report","Analyze the current Jira sprint and provide a comprehensive status report:

1. Get the active sprint from the board using jira_get_sprints_from_board
2. Fetch all issues in the sprint using jira_get_sprint_issues
3. Categorize issues by status (To Do, In Progress, Done, Blocked)
4. Calculate completion percentage and velocity

Please provide:
- Total story points committed vs completed
- Issues at risk of not completing (still in To Do or blocked)
- Team workload distribution by assignee
- Recommendations for sprint success

Board URL: [PASTE_BOARD_URL]","Comprehensive sprint health analysis for status reporting",project_manager
jira_daily_standup_sm,"Daily Standup Preparation","Prepare daily standup information from Jira:

1. Search for my assigned issues in the current sprint
2. Identify what I completed yesterday (status changed to Done in last 24h)
3. List what I'm working on today (status = In Progress)
4. Flag any blockers or dependencies

Format the output as:
**DONE YESTERDAY:**
- [List completed items]

**WORKING ON TODAY:**
- [List in-progress items]

**BLOCKERS:**
- [List any blockers or help needed]

Board URL: [PASTE_BOARD_URL]","Generate standup notes from Jira sprint data",scrum_master
jira_ticket_review_qa,"Ticket Quality Assessment","Review this Jira ticket for completeness and testability:

1. Use jira_get_issue to fetch full ticket details
2. Evaluate the acceptance criteria clarity (1-10 scale)
3. Check for missing information:
   - User story format (As a... I want... So that...)
   - Acceptance criteria
   - Technical details or constraints
   - Edge cases mentioned
   - Test scenarios suggested
4. Suggest improvements for better testability

Ticket URL: [PASTE_TICKET_URL]","Assess Jira ticket quality for QA refinement preparation",qa_engineer
jira_code_review_checklist_dev,"Code Review Checklist Generator","Generate a code review checklist based on this Jira ticket:

1. Use jira_get_issue to fetch the full ticket description and acceptance criteria
2. Create a checklist covering:
   - Functional requirements from acceptance criteria
   - Unit test coverage requirements
   - Security considerations (input validation, auth, etc.)
   - Performance implications
   - Documentation needs
   - Edge cases to verify
   - API contract compliance (if applicable)

Ticket URL: [PASTE_TICKET_URL]","Generate comprehensive code review checklist from ticket requirements",developer
jira_estimation_helper_tl,"Development Estimation Assistant","Help estimate development effort for this Jira ticket:

1. Use jira_get_issue to analyze the ticket scope
2. Break down the work into components:
   - Backend changes
   - Frontend changes
   - Database migrations
   - API changes
   - Testing effort
3. Consider complexity factors and provide story point recommendation
4. Identify potential risks that could affect the estimate

Ticket URL: [PASTE_TICKET_URL]","Assist with story point estimation based on ticket analysis",tech_lead
jira_sprint_goal_summary_po,"Sprint Goals Summary","Summarize the current sprint goals and progress:

1. Get sprint details using jira_get_sprints_from_board
2. Analyze the sprint goal/description
3. Map completed features to business value
4. Identify what's still needed to meet the sprint goal
5. Prepare stakeholder communication summary

Board URL: [PASTE_BOARD_URL]","Create sprint goal summary for stakeholder communication",product_owner
jira_bug_triage_qa,"Bug Triage Assistant","Help triage and prioritize this bug report:

1. Use jira_get_issue to fetch bug details
2. Assess severity based on:
   - User impact (critical, major, minor, cosmetic)
   - Affected functionality scope
   - Workaround availability
   - Security implications
3. Suggest priority level (P1-P4)
4. Recommend next steps and potential assignee

Bug Ticket: [PASTE_TICKET_URL]","Systematic bug triage and prioritization",qa_engineer
jira_sprint_retrospective_sm,"Sprint Retrospective Data","Gather data for sprint retrospective:

1. Get completed sprint issues using jira_get_sprint_issues
2. Analyze:
   - Planned vs delivered story points
   - Carryover items and reasons
   - Bug count introduced vs fixed
   - Cycle time patterns
3. Identify patterns for discussion:
   - What went well (completed on time, quality)
   - What could improve (delays, blockers)
   - Action items from data

Board URL: [PASTE_BOARD_URL]","Generate retrospective insights from sprint data",scrum_master
jira_release_scope_pm,"Release Scope Documentation","Document the scope of an upcoming release:

1. Search for all issues with the target fixVersion
2. Group by epic/feature area
3. Create release scope document with:
   - Feature list with descriptions
   - Known limitations or deferred items
   - Dependencies on external systems
   - Rollback considerations
4. Format for stakeholder review

Project Key: [PROJECT_KEY]
Fix Version: [VERSION]","Create release scope documentation from Jira issues",project_manager
jira_workload_analysis_pm,"Team Workload Distribution","Analyze team workload distribution:

1. Get all issues in current sprint using jira_get_sprint_issues
2. Calculate per-person metrics:
   - Story points assigned
   - Issue count by type (story, bug, task)
   - Time in current status
3. Identify:
   - Overloaded team members
   - Available capacity
   - Potential bottlenecks
4. Suggest workload rebalancing if needed

Board URL: [PASTE_BOARD_URL]","Analyze and balance team workload across sprint",project_manager
